,,,DeepDAC,DeepDiv,DeepDiv,Gini,Gini,CES,CES,LSA,LSA,MAX_P,MAX_P,var_rank,var_rank,msp_gini,msp_gini,entrory_dropout_rank,entrory_dropout_rank,CLUE_sample,CLUE_sample,NAC,NAC,NBC,NBC,SNAC,SNAC,TKNC,TKNC,Random,Random
,,,acc,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value
Select 7.5%,caltech,resNet20,0.048078525,0.046434474,,0.041276228,好,0.036261841,好,0.028062077,好,0.042755882,好,0.045838487,,0.045108946,好,0.042889464,,0.051428298,差,0.03471026,好,0.040464473,好,0.037741494,好,0.038234711,好,0.038244991,好
Select 7.5%,caltech,resNet32,0.045725457,0.03827581,好,0.038419652,好,0.035706965,好,0.031925611,好,0.039385553,好,0.040957677,好,0.042509266,好,0.037566809,好,0.043341573,好,0.033292246,好,0.033199783,好,0.029870538,好,0.029356774,好,0.032716831,好
Select 10%,mnist,LeNet5,0.05301166,0.052660004,,0.035924999,好,0.03597666,好,0.052734995,,0.039041666,好,0.05514334,差,0.039963333,好,0.034989997,好,0.048190002,好,0.033960013,好,0.034866679,好,0.034825019,好,0.035466671,好,0.035429994,好
Select 10%,mnist,LeNet1,0.053436641,0.054451644,,0.044206643,好,0.027598317,好,0.046283317,好,0.045598304,好,0.044983315,好,0.045324985,好,0.044551643,好,0.047736637,好,0.035469981,好,0.035844978,好,0.035044964,好,0.035264973,好,0.036789974,好
Select 10%,fashion,LeNet1,0.044843344,0.044910014,,0.04211003,好,0.030065016,好,0.03275001,好,0.042791684,好,0.039490016,好,0.042165013,好,0.03677669,好,0.038486683,好,0.033063332,好,0.033906662,好,0.032830008,好,0.036121682,好,0.033978359,好
Select 10%,fashion,resNet20,0.058245015,0.057181676,,0.053835018,好,0.048336673,好,0.03767668,好,0.05457501,,0.052816677,好,0.054473348,,0.049810008,好,0.052520009,好,0.030084987,好,0.031971645,好,0.031446652,好,0.031934985,好,0.045678341,好
Select 10%,cifar,vgg16,0.041051662,0.041506672,,0.040063334,,0.032953338,好,0.025148336,好,0.039935017,,0.041846673,,0.040391672,,0.039713335,,0.040331666,,0.030494988,好,0.030989985,好,0.030574989,好,0.031519981,好,0.030166674,好
Select 10%,cifar,resNet20,0.036969984,0.027848327,好,0.028033304,好,0.027966654,好,0.016916649,好,0.031014983,,0.027036651,好,0.036826654,,0.030806645,,0.032464985,好,0.022705007,好,0.023588336,好,0.026800005,好,0.023620001,好,0.023654985,好
Select 10%,svhn,LeNet5,0.044760275,0.040911166,好,0.036323222,好,0.019540664,好,0.02618314,好,0.037369363,好,0.035206008,好,0.036415418,好,0.036127945,好,0.03795071,好,0.024759257,好,0.024148468,好,0.023161225,好,0.02414335,好,0.022992833,好
Select 10%,svhn,vgg16,0.049373202,0.046401858,好,0.043201311,好,0.036495459,好,0.020111771,好,0.043722467,好,0.046038202,好,0.043297986,好,0.041286361,好,0.039998202,好,0.031025279,好,0.030926045,好,0.030401687,好,0.031576526,好,0.030837691,好
Select 10%,cifar100,resNet20,0.024256655,0.024309987,,0.019624986,好,0.01980166,,0.015139989,好,0.023171661,,0.025014991,,0.021024992,,0.020244994,,0.021414993,,0.020116649,,0.017419988,好,0.01672499,好,0.019236654,好,0.02274999,
Select 10%,cifar100,resNet32,0.023208348,0.020130006,,0.020438341,,0.019625012,,0.012910006,好,0.020411682,,0.021396679,,0.016861677,,0.026863343,,0.013686673,好,0.017478341,好,0.020911674,,0.023491681,,0.021780006,,0.022441681,
Select 10%,caltech,resNet20,0.055137714,0.052055097,好,0.048890281,好,0.042355144,好,0.035460357,好,0.050565167,好,0.052435295,好,0.053647784,,0.050390494,,0.056083043,,0.038964272,好,0.048242939,好,0.043865617,好,0.041800276,好,0.043588189,好
Select 10%,caltech,resNet32,0.052065368,0.04577684,好,0.045396646,好,0.041800265,好,0.038933432,好,0.047287317,,0.048222383,好,0.051541328,,0.044286895,好,0.051027556,,0.036539276,好,0.036847536,好,0.035994665,好,0.037145519,好,0.038717647,好
