name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
DeepDAC_2,0.05187499523162842,4000,0.1,3252,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.03532499074935913,4000,0.1,3231,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.030875027179718018,4000,0.1,795,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.034349977970123284,4000,0.1,3339,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.035449981689453125,4000,0.1,984,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.05479997396469116,4000,0.1,3168,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.02544999122619629,1000,0.025,394,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.03074997663497925,1000,0.025,691,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.02424997091293335,1000,0.025,386,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.020524978637695312,1000,0.025,810,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.009774982929229736,1000,0.025,9,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.02102500200271606,1000,0.025,838,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.013424992561340332,1000,0.025,19,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.019500017166137692,1000,0.025,313,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.03750002384185791,2000,0.05,983,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.0416250228881836,2000,0.05,1345,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.03222501277923584,2000,0.05,870,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.026125013828277588,2000,0.05,1592,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.012475013732910156,2000,0.05,58,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.026674985885620117,2000,0.05,1698,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.017300009727478027,2000,0.05,106,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.03105002641677856,2000,0.05,777,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04439997673034668,3000,0.075,1597,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04622501134872437,3000,0.075,1950,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04315000772476196,3000,0.075,1592,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.030674993991851807,3000,0.075,2362,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.01665002107620239,3000,0.075,200,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.03235000371932984,3000,0.075,2521,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.021700024604797363,3000,0.075,295,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.03804999589920044,3000,0.075,1286,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.05012500286102295,4000,0.1,2167,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.05167502164840698,4000,0.1,2456,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04865002632141113,4000,0.1,2334,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.035499989986419685,4000,0.1,3173,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.023275017738342285,4000,0.1,409,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.036499977111816406,4000,0.1,3352,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.028500020503997806,4000,0.1,538,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.043524980545043945,4000,0.1,1853,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.019550025463104248,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.02175003290176392,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.0198250412940979,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.019050002098083496,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.025025010108947757,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.02747499942779541,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.02727502584457397,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.02700001001358032,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.02842503786087036,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.034000039100646966,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03370004892349243,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03390002250671387,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.03415000438690185,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.037000000476837165,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03652501106262207,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.035300016403198235,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.01877504587173462,1000,0.025,851,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.023200035095214844,1000,0.025,833,RG,0,LeNet5,mnist,mnist_LeNet5
NBC,0.018900036811828613,1000,0.025,846,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.0197250247001648,1000,0.025,831,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.02685004472732544,2000,0.05,1704,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.029425024986267086,2000,0.05,1688,RG,0,LeNet5,mnist,mnist_LeNet5
NBC,0.025050044059753414,2000,0.05,1686,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.027100026607513428,2000,0.05,1664,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.030850052833557132,3000,0.075,2551,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03247499465942383,3000,0.075,2519,RG,0,LeNet5,mnist,mnist_LeNet5
